2024-12-29 12:14:51 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: 1196376478 from /help
2024-12-29 12:18:50 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:19:08 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: 1196376478 from /help
2024-12-29 12:19:13 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: 1196376478 from /start
2024-12-29 12:19:22 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: 1196376478 from /search
2024-12-29 12:19:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:33:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:33:51 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-29 12:33:54 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
2024-12-29 12:34:24 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:27 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5198650906
2024-12-29 12:34:31 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-12-29 12:34:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:40 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:46 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:52 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:34:56 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:35:05 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:35:11 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 12:35:33 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-12-29 12:35:51 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-12-29 12:36:00 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-12-29 12:36:02 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-12-29 12:36:21 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-12-29 12:36:29 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1196376478
2024-12-29 14:33:43 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-12-29 14:33:48 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5198650906
2024-12-29 14:33:55 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:34:11 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:34:23 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:34:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:34:40 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:21 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:30 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
